Date,Open,High,Low,Close,Volume,Adj Close
1985-01-02,167.199997,167.199997,165.190002,165.369995,67820000,165.369995
1985-01-03,165.369995,166.110001,164.380005,164.570007,88880000,164.570007
1985-01-04,164.550003,164.550003,163.360001,163.679993,77480000,163.679993
1985-01-07,163.679993,164.710007,163.679993,164.240005,86190000,164.240005
1985-01-08,164.240005,164.589996,163.910004,163.990005,92110000,163.990005
1985-01-09,163.990005,165.570007,163.990005,165.179993,99230000,165.179993
1985-01-10,165.179993,168.309998,164.990005,168.309998,124700000,168.309998
1985-01-11,168.309998,168.720001,167.580002,167.910004,107600000,167.910004
1985-01-14,167.910004,170.550003,167.580002,170.509995,124900000,170.509995
1985-01-15,170.509995,171.820007,170.399994,170.809998,155300000,170.809998
1985-01-16,170.809998,171.940002,170.410004,171.190002,135500000,171.190002
1985-01-17,171.190002,171.339996,170.220001,170.729996,113600000,170.729996
1985-01-18,170.729996,171.419998,170.660004,171.320007,104700000,171.320007
1985-01-21,171.320007,175.449997,171.309998,175.229996,146800000,175.229996
1985-01-22,175.229996,176.630005,175.139999,175.479996,174800000,175.479996
1985-01-23,175.479996,177.300003,175.149994,177.300003,144400000,177.300003
1985-01-24,177.300003,178.160004,176.559998,176.710007,160700000,176.710007
1985-01-25,176.710007,177.75,176.539993,177.350006,122400000,177.350006
1985-01-28,177.350006,178.190002,176.559998,177.399994,128400000,177.399994
1985-01-29,177.399994,179.190002,176.580002,179.179993,115700000,179.179993
1985-01-30,179.179993,180.270004,179.050003,179.389999,170000000,179.389999
1985-01-31,179.389999,179.830002,178.559998,179.630005,132500000,179.630005
1985-02-01,179.630005,179.630005,178.440002,178.630005,105400000,178.630005
1985-02-04,178.630005,180.350006,177.75,180.350006,113700000,180.350006
1985-02-05,180.350006,181.529999,180.070007,180.610001,143900000,180.610001
1985-02-06,180.610001,181.50,180.320007,180.429993,141000000,180.429993
1985-02-07,180.429993,181.960007,180.429993,181.820007,151700000,181.820007
1985-02-08,181.820007,182.389999,181.669998,182.190002,116500000,182.190002
1985-02-11,182.190002,182.190002,180.110001,180.509995,104000000,180.509995
1985-02-12,180.509995,180.75,179.449997,180.559998,111100000,180.559998
1985-02-13,180.559998,183.860001,180.50,183.350006,142500000,183.350006
1985-02-14,183.350006,183.949997,182.389999,182.410004,139700000,182.410004
1985-02-15,182.410004,182.649994,181.229996,181.600006,106500000,181.600006
1985-02-19,181.600006,181.610001,180.949997,181.330002,90400000,181.330002
1985-02-20,181.330002,182.100006,180.639999,181.179993,118200000,181.179993
1985-02-21,181.179993,181.179993,180.020004,180.190002,104000000,180.190002
1985-02-22,180.190002,180.410004,179.229996,179.360001,93680000,179.360001
1985-02-25,179.360001,179.360001,178.130005,179.229996,89740000,179.229996
1985-02-26,179.229996,181.580002,179.160004,181.169998,114200000,181.169998
1985-02-27,181.169998,181.869995,180.50,180.710007,107700000,180.710007
1985-02-28,180.710007,181.210007,180.330002,181.179993,100700000,181.179993
1985-03-01,181.179993,183.889999,181.160004,183.229996,139900000,183.229996
1985-03-04,183.229996,183.410004,181.399994,182.059998,102100000,182.059998
1985-03-05,182.059998,182.649994,181.419998,182.229996,116400000,182.229996
1985-03-06,182.229996,182.25,180.589996,180.649994,116900000,180.649994
1985-03-07,180.649994,180.649994,179.440002,179.509995,112100000,179.509995
1985-03-08,179.509995,179.970001,179.070007,179.100006,96390000,179.100006
1985-03-11,179.100006,179.460007,178.149994,178.789993,84110000,178.789993
1985-03-12,178.789993,180.139999,178.699997,179.660004,92840000,179.660004
1985-03-13,179.660004,179.960007,178.020004,178.190002,101700000,178.190002
1985-03-14,178.190002,178.529999,177.610001,177.839996,103400000,177.839996
1985-03-15,177.839996,178.410004,176.529999,176.529999,105200000,176.529999
1985-03-18,176.529999,177.660004,176.529999,176.880005,94020000,176.880005
1985-03-19,176.880005,179.559998,176.869995,179.539993,119200000,179.539993
1985-03-20,179.539993,179.779999,178.789993,179.080002,107500000,179.080002
1985-03-21,179.080002,180.220001,178.889999,179.350006,95930000,179.350006
1985-03-22,179.350006,179.919998,178.860001,179.039993,99250000,179.039993
1985-03-25,179.039993,179.039993,177.850006,177.970001,74040000,177.970001
1985-03-26,177.970001,178.860001,177.880005,178.429993,89930000,178.429993
1985-03-27,178.429993,179.800003,178.429993,179.539993,101000000,179.539993
1985-03-28,179.539993,180.600006,179.429993,179.539993,99780000,179.539993
1985-03-29,179.539993,180.660004,179.539993,180.660004,101400000,180.660004
1985-04-01,180.660004,181.270004,180.429993,181.270004,89900000,181.270004
1985-04-02,181.270004,181.860001,180.279999,180.529999,101700000,180.529999
1985-04-03,180.529999,180.529999,178.639999,179.110001,95480000,179.110001
1985-04-04,179.110001,179.130005,178.289993,179.029999,86910000,179.029999
1985-04-08,179.029999,179.460007,177.860001,178.029999,79960000,178.029999
1985-04-09,178.029999,178.669998,177.970001,178.210007,83980000,178.210007
1985-04-10,178.210007,179.899994,178.210007,179.419998,108200000,179.419998
1985-04-11,179.419998,180.910004,179.419998,180.190002,108400000,180.190002
1985-04-12,180.190002,180.550003,180.059998,180.539993,86220000,180.539993
1985-04-15,180.539993,181.149994,180.449997,180.919998,80660000,180.919998
1985-04-16,180.919998,181.779999,180.190002,181.199997,98480000,181.199997
1985-04-17,181.199997,181.910004,181.139999,181.679993,96020000,181.679993
1985-04-18,181.679993,182.559998,180.75,180.839996,100600000,180.839996
1985-04-19,180.839996,181.25,180.419998,181.110001,81110000,181.110001
1985-04-22,181.110001,181.229996,180.25,180.699997,79930000,180.699997
1985-04-23,180.699997,181.970001,180.339996,181.880005,108900000,181.880005
1985-04-24,181.880005,182.270004,181.740005,182.259995,99600000,182.259995
1985-04-25,182.259995,183.429993,182.119995,183.429993,108600000,183.429993
1985-04-26,183.429993,183.610001,182.110001,182.179993,86570000,182.179993
1985-04-29,182.179993,182.339996,180.619995,180.630005,88860000,180.630005
1985-04-30,180.630005,180.630005,178.860001,179.830002,111800000,179.830002
1985-05-01,179.830002,180.039993,178.350006,178.369995,101600000,178.369995
1985-05-02,178.369995,179.009995,178.369995,179.009995,107700000,179.009995
1985-05-03,179.009995,180.300003,179.009995,180.080002,94870000,180.080002
1985-05-06,180.080002,180.559998,179.820007,179.990005,85650000,179.990005
1985-05-07,179.990005,181.089996,179.869995,180.759995,100200000,180.759995
1985-05-08,180.759995,180.759995,179.960007,180.619995,101300000,180.619995
1985-05-09,180.619995,181.970001,180.619995,181.919998,111000000,181.919998
1985-05-10,181.919998,184.740005,181.919998,184.279999,140300000,184.279999
